wavelength,beta_1_coupled,beta_2_coupled
1.54,0.1120609444215706,-0.11206094442157061
1.541,0.10116204065863293,-0.10116204065863299
1.542,0.09043008925418838,-0.0904300892541884
1.5430000000000001,0.07991093047014042,-0.07991093047014043
1.544,0.0696765687928948,-0.06967656879289479
1.545,0.05984501905266543,-0.059845019052665406
1.546,0.050618280922365866,-0.050618280922365824
1.5470000000000002,0.04235384296565081,-0.04235384296565083
1.548,0.03567961574751579,-0.03567961574751579
1.549,0.031567245189237134,-0.03156724518923714
1.55,0.03099934757225677,-0.030999347572256773
1.5510000000000002,0.034105835591593366,-0.034105835591593366
1.552,0.04000034108652913,-0.04000034108652914
1.553,0.047625956401572155,-0.04762595640157218
1.554,0.05625530251002717,-0.05625530251002718
1.5550000000000002,0.06546884943428359,-0.0654688494342836
1.556,0.07503098913109149,-0.07503098913109149
1.557,0.08480567977863142,-0.08480567977863145
1.558,0.09464060467777566,-0.09464060467777562
1.5590000000000002,0.10455276264262177,-0.10455276264262173
1.56,0.11450897192258065,-0.11450897192258065
