wavelength,beta_1_uncoupled,beta_2_uncoupled,beta_ave_uncoupled
1.54,-0.09932262768415967,0.09932262768415967,6074.46016236697
1.541,-0.0879126257786993,0.08791262577960879,6070.205626123217
1.542,-0.0765480111249417,0.0765480111240322,6065.9571034037435
1.5430000000000001,-0.0652286935801385,0.0652286935801385,6061.714581421912
1.544,-0.05395458313250856,0.05395458313250856,6057.478047427784
1.545,-0.04272558995944564,0.04272558995944564,6053.247488705959
1.546,-0.03154162447754061,0.03154162447754061,6049.022892578407
1.5470000000000002,-0.020402597238899034,0.020402597238899034,6044.804246401667
1.548,-0.009308419035733095,0.009308419035733095,6040.591537568777
1.549,0.0017409992033208255,-0.0017409992033208255,6036.384753507073
1.55,0.012745746209475328,-0.012745746210384823,6032.183881680507
1.5510000000000002,0.02370591068665817,-0.02370591068665817,6027.988909587711
1.552,0.03462158109232405,-0.034621581093233544,6023.799824762049
1.553,0.04549284562472167,-0.04549284562472167,6019.616614772267
1.554,0.05631979236295592,-0.05631979236204643,6015.439267222313
1.5550000000000002,0.06710250913511118,-0.06710250913420168,6011.267769749937
1.556,0.07784108361738618,-0.07784108361829567,6007.102110028765
1.557,0.08853560324860155,-0.08853560324769205,6002.942275765419
1.558,0.09912165702462516,-0.09912165702462516,5998.787021685509
1.5590000000000002,0.10966376091346319,-0.10966376091346319,5994.637574791939
1.56,0.12016200227390073,-0.12016200227481022,5990.49392286777
